signal_date,symbol,candidate_group,signal_close,phoenix_score,calibrated_probability,signal_type,confidence,day1_close_pct,day2_close_pct,day3_close_pct,max_high_pct_3d,hit_day,status,last_checked
2026-08-13,CRFSA,KESIN_ADAY,307.5,37.55120185245878,0.3746683940274384,YARIN %9+ BEKLENTİSİ,ORTA,10.0,-0.98,-10.81,10.0,1.0,BASARILI,2026-08-18 16:03:02
2026-08-17,KORDS,YAKIN_TAKIP,94.849998,33.888208474544626,0.3496027209987022,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,-2.85,-3.0,,-0.26,,TAKIPTE,2026-08-19 16:02:02
2026-08-17,KARCL,YAKIN_TAKIP,87.0,33.53552433705966,0.3461864800797036,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,10.0,20.92,,20.92,1.0,HEDEF_GORDU_TAKIPTE,2026-08-19 16:02:02
2026-08-17,BRKO,YAKIN_TAKIP,13.7,31.67255791577128,0.3493233066489599,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,-6.57,-5.47,,-4.23,,TAKIPTE,2026-08-19 16:02:02
2026-08-17,ZGYO,YAKIN_TAKIP,37.299999,26.39649480148229,0.3064012329369016,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,-9.97,-18.93,,8.58,,TAKIPTE,2026-08-19 16:02:02
2026-08-17,PASEU,YAKIN_TAKIP,164.0,25.408510201447594,0.2808355834766058,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,9.82,13.41,,13.41,1.0,HEDEF_GORDU_TAKIPTE,2026-08-19 16:02:02
2026-08-18,TKNSA,YAKIN_TAKIP,21.700001,31.81268065425496,0.3327682190310513,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,-10.0,,,5.99,,TAKIPTE,2026-08-19 16:02:02
2026-08-18,ISVEA,YAKIN_TAKIP,60.400002,30.206203246435475,0.3096866505593244,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,9.93,,,9.93,1.0,HEDEF_GORDU_TAKIPTE,2026-08-19 16:02:02
2026-08-18,PRZMA,YAKIN_TAKIP,87.099998,24.60323664653913,0.294717497195985,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,-3.21,,,9.59,1.0,HEDEF_GORDU_TAKIPTE,2026-08-19 16:02:02
2020-09-16,ISKUR,YAKIN_TAKIP,425000.0,22.145891843994285,0.32081258258336,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,870.59,,,870.59,1.0,HEDEF_GORDU_TAKIPTE,2026-08-19 16:02:03
2026-08-19,HKTM,YAKIN_TAKIP,14.61,24.88926780493536,0.2897837374495441,YAKIN TAKİP — KATI EŞİK ALTI,YAKIN TAKİP,,,,,,TAKIPTE,
